STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2004,,35400,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2005,,35770,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2006,,37230,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2007,,38390,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2008,,38840,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2009,,36810,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2010,,38430,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2011,,39880,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2012,,40010,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2013,,40100,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2014,,40850,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2015,,41230,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2016,,41880,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2017,,42960,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2018,,43390,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2019,,43790,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2020,,42020,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2021,,43730,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2022,,44230,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2023,,43450,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2024,,43110,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2004,,33300,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2005,,33680,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2006,,34360,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2007,,35010,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2008,,34960,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2009,,33800,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2010,,34310,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2011,,34990,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2012,,34880,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2013,,34990,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2014,,35150,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2015,,35370,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2016,,35540,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2017,,36140,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2018,,36570,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2019,,37160,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2020,,34280,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2021,,36470,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2022,,37320,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2023,,37760,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV20_EUR_HAB,"Chain linked volumes (2020), euro per capita",B1GQ,Gross domestic product at market prices,FR,France,2024,,38110,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2004,,1.3,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2005,,1.0,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2006,,4.1,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2007,,3.1,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2008,,1.2,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2009,,-5.2,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2010,,4.4,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2011,,3.8,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2012,,0.3,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2013,,0.2,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2014,,1.9,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2015,,0.9,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2016,,1.6,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2017,,2.6,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2018,,1.0,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2019,,0.9,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2020,,-4.0,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2021,,4.1,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2022,,1.2,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2023,,-1.8,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,DE,Germany,2024,,-0.8,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2004,,2.1,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2005,,1.1,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2006,,2.0,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2007,,1.9,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2008,,-0.2,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2009,,-3.3,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2010,,1.5,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2011,,2.0,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2012,,-0.3,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2013,,0.3,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2014,,0.5,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2015,,0.6,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2016,,0.5,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2017,,1.7,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2018,,1.2,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2019,,1.6,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2020,,-7.8,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2021,,6.4,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2022,,2.3,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2023,,1.2,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,FR,France,2024,,0.9,,p,provisional,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,UK,United Kingdom,2004,,1.8,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,UK,United Kingdom,2005,,2.2,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,UK,United Kingdom,2006,,2.0,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,UK,United Kingdom,2007,,1.5,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,UK,United Kingdom,2008,,-1.1,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,UK,United Kingdom,2009,,-4.8,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,UK,United Kingdom,2010,,1.3,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,UK,United Kingdom,2011,,0.4,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,UK,United Kingdom,2012,,0.8,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,UK,United Kingdom,2013,,1.5,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,UK,United Kingdom,2014,,2.1,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,UK,United Kingdom,2015,,1.6,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,UK,United Kingdom,2016,,0.9,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,UK,United Kingdom,2017,,1.1,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,UK,United Kingdom,2018,,0.6,,,,,
dataflow,ESTAT:SDG_08_10(1.0),Real GDP per capita,A,Annual,CLV_PCH_PRE_HAB,"Chain linked volumes, percentage change on previous period, per capita",B1GQ,Gross domestic product at market prices,UK,United Kingdom,2019,,0.8,,,,,
